NCTId,BriefTitle,Phase,SponsorName,success_rate,phase_historical_success_rate,cumulative_approval_probability,simulated_success_rate,median_approval_year,mean_approval_year,pct10_approval_year,pct90_approval_year,earliest_approval_year,latest_approval_year,japan_median_approval_year,japan_mean_approval_year,japan_pct10_approval_year,japan_pct90_approval_year,japan_earliest_approval_year,japan_latest_approval_year,japan_median_delay_years
NCT07290530,24-Month Trial of NPI-001 for the Preservation of Photoreceptors in Retinitis Pigmentosa Associated With Usher Syndrome,PHASE3,"Nacuity Pharmaceuticals, Inc.",0.71,0.71,0.71,0.7107,2033.0,2033.0230758407204,2032.0,2034.0,2031,2035,2038.0,2038.022653721683,2037.0,2039.0,2034,2041,4.995393542246304
NCT05537220,Oral N-acetylcysteine for Retinitis Pigmentosa,PHASE3,Johns Hopkins University,0.71,0.71,0.71,0.7054,2033.0,2033.0398355542955,2032.0,2034.0,2031,2035,2038.0,2038.043096115679,2037.0,2040.0,2034,2042,4.99336290225169
NCT06912633,"Safety of a Single, Intravitreal Injection of 6.0M jCell (Famzeretcel) in Retinitis Pigmentosa (RP)",PHASE2,"jCyte, Inc",0.5538,0.78,0.5538,0.5668,2037.0,2037.5756880733945,2035.0,2041.0,2033,2044,2042.0,2042.5878616796049,2040.0,2046.0,2037,2051,5.00626307605565
NCT06627179,Study to Evaluate Ultevursen in Subjects With Retinitis Pigmentosa (RP) Due to Mutations in Exon 13 of the USH2A Gene,PHASE2,Laboratoires Thea,0.49842000000000003,0.78,0.49842000000000003,0.4946,2037.0,2037.6180752122928,2035.0,2041.0,2033,2044,2042.0,2042.5849171047312,2040.0,2046.0,2037,2050,4.95987651543237
NCT06628947,A Phase II Study of Intravitreal KIO-301 in Patients With Late-stage Retinitis Pigmentosa,PHASE2,"Kiora Pharmaceuticals, Inc.",0.5538,0.78,0.5538,0.5488,2037.0,2037.5648688046647,2035.0,2041.0,2033,2044,2042.0,2042.5710641399417,2040.0,2046.0,2036,2050,5.012194514537721
NCT05909488,Role of UC-MSC and CM to Inhibit Vision Loss in Retinitis Pigmentosa Phase I/II,"PHASE2, PHASE3",PT. Prodia Stem Cell Indonesia,0.5538,0.78,0.5538,0.5486,2037.0,2037.4819540648925,2035.0,2041.0,2033,2044,2042.0,2042.4728399562523,2040.0,2046.0,2037,2050,4.994561582095364
NCT02065011,"A Study to Determine the Long-Term Safety, Tolerability and Biological Activity of SAR421869 in Patients With Usher Syndrome Type 1B",PHASE2,Sanofi,0.5538,0.78,0.5538,0.5517,2037.0,2037.5696936740983,2035.0,2041.0,2033,2045,2042.0,2042.5856443719413,2040.0,2046.0,2037,2050,5.003533780067847
NCT01736059,Clinical Trial of Autologous Intravitreal Bone-marrow CD34+ Stem Cells for Retinopathy,PHASE1,"University of California, Davis",0.47073,0.85,0.47073,0.4687,2038.0,2038.0691273735865,2036.0,2041.0,2033,2045,2043.0,2043.0872626413484,2040.0,2046.0,2037,2051,5.007914811276631
NCT05748873,Promising ROd-cone DYstrophy Gene therapY,"PHASE1, PHASE2",SparingVision,0.423657,0.85,0.423657,0.4319,2041.0,2041.4151423940727,2038.0,2045.0,2034,2050,2046.0,2046.4119009029869,2043.0,2050.0,2039,2056,4.993745953233437
NCT05805007,Safety and Tolerability Study of Gene Editing Drug ZVS203e in Participants With Retinitis Pigmentosa,EARLY_PHASE1,Peking University Third Hospital,0.423657,0.85,0.423657,0.4296,2041.0,2041.3466014897579,2038.0,2045.0,2034,2050,2046.0,2046.3482309124768,2043.0,2050.0,2039,2055,4.99540214856661
NCT07282457,"Prospective, Randomized, Sham-controlled, Dose-finding I/II Trial of Safety and Efficacy of Modified Optogenetic Gene Therapy (ZM-02 Injection)","PHASE1, PHASE2",Zhongmou Therapeutics,0.423657,0.85,0.423657,0.4212,2041.0,2041.3088793922127,2038.0,2045.0,2034,2051,2046.0,2046.320987654321,2043.0,2050.0,2039,2057,5.021475653173187
NCT06591793,Study of Subretinally Injected AAVB-081 in Patients With Usher Syndrome Type IB (USH1B) Retinitis Pigmentosa,"PHASE1, PHASE2",AAVantgarde Bio Srl,0.423657,0.85,0.423657,0.4137,2041.0,2041.4036741600194,2038.0,2045.0,2035,2051,2046.0,2046.4092337442592,2043.0,2050.0,2039,2056,5.004434382079898
NCT06592131,BF844 Safety and Pharmacokinetic Study in Healthy Volunteers,PHASE1,EyeXCel Pty. Ltd.,0.47073,0.85,0.47073,0.468,2041.0,2041.3839743589745,2038.0,2045.0,2034,2051,2046.0,2046.3818376068375,2043.0,2050.0,2038,2056,4.997988822030523
NCT07509229,9-cis Beta-Carotene-Rich Extract of Dunaliella Alga in Retinitis Pigmentosa Patients,"PHASE1, PHASE2",Sheba Medical Center,0.47073,0.85,0.47073,0.4728,2041.0,2041.4088409475464,2038.0,2045.0,2034,2050,2046.0,2046.4096869712353,2043.0,2050.0,2039,2055,4.9998477919427105
NCT06852963,"A Repeat-Dose, Open-Label, Two Arm Safety and Efficacy Study of Two Doses of VP-001 Administered Intravitreally in Participants With Confirmed PRPF31 Mutation-Associated Retinal Dystrophy, Including Participants Previously Treated With VP001","PHASE1, PHASE2",PYC Therapeutics,0.47073,0.85,0.47073,0.2263,2041.0,2041.3596995139196,2038.0,2045.0,2035,2051,2046.0,2046.343349536014,2043.0,2050.0,2039,2056,4.985986230267508
NCT06460844,Study to Evaluate Safety of RTx-015 Injection in Retinitis Pigmentosa or Choroideremia Patients (ENVISION),PHASE1,"Ray Therapeutics, Inc.",0.47073,0.85,0.47073,0.467,2041.0,2041.3974304068522,2038.0,2045.0,2035,2051,2046.0,2046.4104925053534,2043.0,2050.0,2039,2056,5.003847645299434
NCT05282953,"A Phase I/II Dose-escalating Study of the Safety, Tolerability and Efficacy of KIO-301 Administered Intravitreally to Patients With Retinitis Pigmentosa and Choroideremia (ABACUS)","PHASE1, PHASE2","Kiora Pharmaceuticals, Inc.",0.47073,0.85,0.47073,0.4602,2041.0,2041.422642329422,2038.0,2045.0,2034,2050,2046.0,2046.4154715341156,2043.0,2050.0,2039,2056,4.994227752081757
NCT03316560,Safety and Efficacy of rAAV2tYF-GRK1-RPGR in Subjects With X-linked Retinitis Pigmentosa Caused by RPGR Mutations,"PHASE1, PHASE2",Beacon Therapeutics,0.423657,0.85,0.423657,0.4343,2041.0,2041.3872898917798,2038.0,2045.0,2035,2050,2046.0,2046.393276536956,2043.0,2050.0,2039,2057,5.015749927371585
NCT06936787,"An Open-label, Dose-ascending Study of IGT001 for Retinitis Pigmentosa",PHASE1,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",0.423657,0.85,0.423657,0.43,2041.0,2041.3997674418604,2038.0,2045.0,2034,2050,2046.0,2046.4102325581396,2043.0,2050.0,2038,2056,5.003944046815233
NCT05874310,Gene Therapy for Subjects With RPGR Mutation-associated X-linked Retinitis Pigmentosa,EARLY_PHASE1,Frontera Therapeutics,0.423657,0.85,0.423657,0.4285,2041.0,2041.3423570595098,2038.0,2045.0,2034,2051,2046.0,2046.3449241540256,2043.0,2050.0,2039,2056,5.010657618902859
NCT04355689,Safety and Efficacy of NPI-001 Tablets for RP Associated With Usher Syndrome,"PHASE1, PHASE2","Nacuity Pharmaceuticals, Inc.",0.47073,0.85,0.47073,0.4727,2041.0,2041.4112544954517,2038.0,2045.0,2034,2051,2046.0,2046.4057541781256,2043.0,2050.0,2040,2057,4.9895974048332805
NCT07341919,Subtenon Autologous Platelet-Rich Plasma in Inherited and Degenerative Retinal Diseases,"PHASE1, PHASE2",Rubens Camargo Siqueira,0.423657,0.85,0.423657,0.413,2041.0,2041.314043583535,2038.0,2045.0,2035,2050,2046.0,2046.327602905569,2043.0,2050.0,2038,2057,5.010378920220241
NCT06492850,Gene Therapy for RPGR Gene Mutation-associated X-linked Retinitis Pigmentosa,"PHASE1, PHASE2",Frontera Therapeutics,0.423657,0.85,0.423657,0.4193,2041.0,2041.372048652516,2038.0,2045.0,2034,2051,2046.0,2046.373241116146,2043.0,2050.0,2038,2056,5.013196209097377
NCT06242379,Safety and Efficacy of Stem Cell Small Extracellular Vesicles in Patients With Retinitis Pigmentosa,"PHASE1, PHASE2",Mahidol University,0.47073,0.85,0.47073,0.471,2041.0,2041.360297239915,2038.0,2045.0,2035,2050,2046.0,2046.3747346072187,2043.0,2050.0,2038,2056,5.031321396773402
NCT04517149,4D-125 in Patients With X-Linked Retinitis Pigmentosa (XLRP),"PHASE1, PHASE2",4D Molecular Therapeutics,0.47073,0.85,0.47073,0.4668,2041.0,2041.3843187660668,2038.0,2045.0,2035,2050,2046.0,2046.3761782347901,2043.0,2050.0,2039,2056,4.990932385097378
NCT03999021,FIGHT-RP 1 Extension Study,PHASE1,Johns Hopkins University,0.47073,0.85,0.47073,0.4695,2041.0,2041.406602768903,2038.0,2045.0,2034,2051,2046.0,2046.4176783812566,2043.0,2050.0,2039,2056,5.013028316300317
NCT07408232,A Phase 1/2 Study in Healthy Volunteers and Participants With Autosomal Dominant Retinitis Pigmentosa (RHO-adRP),"PHASE1, PHASE2","Octant, Inc.",0.47073,0.85,0.47073,0.4687,2041.0,2041.39385534457,2038.0,2045.0,2034,2051,2046.0,2046.4055899295925,2043.0,2050.0,2039,2056,5.000719422883484
NCT06891885,A Study to Investigate the Safety of DSP-3077 After a Unilateral Eye Injection in Male and Female Participants 18 Years of Age or Older With Retinitis Pigmentosa,"PHASE1, PHASE2","Sumitomo Pharma America, Inc.",0.47073,0.85,0.47073,0.4715,2041.0,2041.4053022269354,2038.0,2045.0,2035,2051,2046.0,2046.41230116649,2043.0,2050.0,2039,2057,4.989467941736624
NCT06789445,A Study to Investigate the Safety of OpCT-001 in Adults Who Have Primary Photoreceptor Disease (CLARICO),"PHASE1, PHASE2",BlueRock Therapeutics,0.47073,0.85,0.47073,0.4679,2041.0,2041.3567001496046,2038.0,2045.0,2035,2050,2046.0,2046.340243641804,2043.0,2050.0,2039,2056,4.974290353333016
NCT06455826,MAD of IVT VP-001 in PRPF31 Mutation-Associated Retinal Dystrophy Subjects (Wallaby),PHASE1,PYC Therapeutics,0.47073,0.85,0.47073,0.2169,2041.0,2041.44306131858,2038.0,2045.0,2035,2051,2046.0,2046.478561549101,2043.0,2050.0,2039,2056,5.031970681112222
NCT07311863,UGX202 Injection in Patients With Advanced Retinitis Pigmentosa,EARLY_PHASE1,"Suzhou UgeneX Therapeutics Co., Ltd.",0.423657,0.85,0.423657,0.4347,2041.0,2040.879917184265,2038.0,2045.0,2034,2051,2046.0,2045.8923395445136,2042.0,2050.0,2038,2056,4.999571180421487
NCT06291935,Safety and Tolerability of Intravitreal Administration of VG901 in Patients With Retinitis Pigmentosa Due to Mutations in the CNGA1 Gene,PHASE1,VeonGen Therapeutics GmbH,0.423657,0.85,0.423657,0.4222,2041.0,2041.4277593557556,2038.0,2045.0,2035,2051,2046.0,2046.41757460919,2043.0,2050.0,2039,2057,4.987087578226132
NCT02018692,The Effect of Oral Administration of 9-cis Rich Powder of the Alga Dunaliella Bardawil on Visual Functions in Adolescent Patients With Retinitis Pigmentosa,"PHASE1, PHASE2",Sheba Medical Center,0.47073,0.85,0.47073,0.4707,2041.0,2041.4350966645422,2038.0,2045.0,2034,2050,2046.0,2046.4461440407904,2043.0,2050.0,2039,2056,5.010469983141041
NCT04123626,A Study to Evaluate the Safety and Tolerability of QR-1123 in Subjects With Autosomal Dominant Retinitis Pigmentosa Due to the P23H Mutation in the RHO Gene,"PHASE1, PHASE2",ProQR Therapeutics,0.423657,0.85,0.423657,0.4236,2041.0,2041.3175165250236,2038.0,2045.0,2034,2050,2046.0,2046.3127950897074,2043.0,2050.0,2038,2056,4.974233259593045
NCT03963154,Interventional Study of Implantation of hESC-derived RPE in Patients With RP Due to Monogenic Mutation,"PHASE1, PHASE2",Centre d'Etude des Cellules Souches,0.47073,0.85,0.47073,0.4753,2041.0,2041.3465179886387,2038.0,2045.0,2034,2050,2046.0,2046.3343151693666,2043.0,2050.0,2038,2056,4.9934854558449775
NCT03374657,"A First-in-human, Proof of Concept Study of CPK850 in Patients With RLBP1 Retinitis Pigmentosa","PHASE1, PHASE2",Novartis Pharmaceuticals,0.47073,0.85,0.47073,0.4777,2041.0,2041.3546158676993,2038.0,2045.0,2034,2052,2046.0,2046.3424743562905,2043.0,2050.0,2038,2058,4.977773953066612
NCT07348588,Intravitreal Adalimumab in Inherited and Degenerative Retinal Diseases,"PHASE1, PHASE2",Centro de Pesquisa Rubens Siqueira,0.423657,0.85,0.423657,0.4213,2041.0,2041.3921196297176,2038.0,2045.0,2034,2051,2046.0,2046.394018514123,2043.0,2050.0,2039,2057,4.998159008972747
NCT06565572,Antisense Oligonucleotide Treatment for PCARP Disease Due to Mutation in FLVCR1,EARLY_PHASE1,"University of Colorado, Denver",0.47073,0.85,0.47073,0.46,2041.0,2041.4036956521738,2038.0,2045.0,2034,2051,2046.0,2046.4084782608695,2043.0,2050.0,2039,2056,4.987933802243745
NCT04278131,BS01 in Patients With Retinitis Pigmentosa,"PHASE1, PHASE2",Bionic Sight LLC,0.47073,0.85,0.47073,0.4744,2041.0,2041.4152613827994,2038.0,2045.0,2033,2051,2046.0,2046.4173693086004,2043.0,2050.0,2039,2056,5.01900301796456
NCT06952842,Safety and Efficacy of ZVS203e in the Treatment of Retinitis Pigmentosa Caused by RHO Gene Mutation,"PHASE1, PHASE2","Chigenovo Co., Ltd",0.423657,0.85,0.423657,0.422,2041.0,2041.420616113744,2038.0,2045.0,2034,2051,2046.0,2046.4315165876778,2043.0,2050.0,2039,2056,5.017559146514282
NCT06292650,Safety and Efficacy Study of Novel Gene Therapy ZM-02 for Retinitis Pigmentosa Patients,EARLY_PHASE1,Zhongmou Therapeutics,0.423657,0.85,0.423657,0.4301,2041.0,2041.417344803534,2038.0,2045.0,2034,2050,2046.0,2046.4171122994653,2043.0,2050.0,2038,2056,5.006402904902928
NCT04284293,CNS10-NPC for the Treatment of RP,PHASE1,Cedars-Sinai Medical Center,0.47073,0.85,0.47073,0.4669,2041.0,2041.390661811951,2038.0,2045.0,2034,2051,2046.0,2046.384236453202,2043.0,2050.0,2039,2056,4.990716404022838
NCT03326336,Dose-escalation Study to Evaluate the Safety and Tolerability of GS030 in Subjects With Retinitis Pigmentosa,"PHASE1, PHASE2",GenSight Biologics,0.47073,0.85,0.47073,0.4738,2041.0,2041.3784297171803,2038.0,2045.0,2034,2051,2046.0,2046.3674546222035,2043.0,2050.0,2038,2057,4.984744561883964
NCT05147701,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for NAION,PHASE1,The Foundation for Orthopaedics and Regenerative Medicine,0.423657,0.85,0.423657,0.4357,2041.0,2041.428276336929,2038.0,2045.0,2035,2051,2046.0,2046.4404406701858,2043.0,2050.0,2038,2056,5.011777857238795
NCT06319872,The Effects of Disulfiram (Antabuse®) on Visual Acuity in Patients With Retinal Degeneration,PHASE1,University of Rochester,0.423657,0.85,0.423657,0.4185,2041.0,2041.3338112305855,2038.0,2045.0,2035,2051,2046.0,2046.3445639187576,2043.0,2050.0,2038,2057,5.0088358609653625
NCT01680510,The Effect of Oral Administration of 9-cis β Carotene Rich Powder of the Alga Dunaliella Bardawil,"PHASE1, PHASE2",Sheba Medical Center,0.47073,0.85,0.47073,0.4672,2041.0,2041.3433219178082,2038.0,2045.0,2035,2052,2046.0,2046.3550941780823,2043.0,2050.0,2039,2057,5.014096866124499
NCT04611503,PDE6A Gene Therapy for Retinitis Pigmentosa,"PHASE1, PHASE2",STZ eyetrial,0.423657,0.85,0.423657,0.4265,2041.0,2041.443610785463,2038.0,2045.0,2035,2050,2046.0,2046.4614302461898,2043.0,2050.0,2040,2056,5.024093286803955
NCT06787482,"Evaluating a New Peptide Therapy for Retinal Diseases: AMD, Diabetic Retinopathy, and Dystrophies","PHASE1, PHASE2",Ace Cells Lab Limited,0.47073,0.85,0.47073,0.4699,2041.0,2041.3664609491382,2038.0,2045.0,2035,2051,2046.0,2046.372206852522,2043.0,2050.0,2039,2057,5.0032012773100485
